ko04978	Mineral absorption
ko01200	Carbon metabolism
ko01051	Biosynthesis of ansamycins
ko04110	Cell cycle
ko01040	Biosynthesis of unsaturated fatty acids
ko04725	Cholinergic synapse
ko00430	Taurine and hypotaurine metabolism
ko04917	Prolactin signaling pathway
ko05020	Prion diseases
ko00901	Indole alkaloid biosynthesis
ko05215	Prostate cancer
ko00983	Drug metabolism - other enzymes
ko05210	Colorectal cancer
ko05414	Dilated cardiomyopathy
ko00982	Drug metabolism - cytochrome P450
ko04728	Dopaminergic synapse
ko03013	RNA transport
ko00630	Glyoxylate and dicarboxylate metabolism
ko04350	TGF-beta signaling pathway
ko04724	Glutamatergic synapse
ko04012	ErbB signaling pathway
ko00460	Cyanoamino acid metabolism
ko03040	Spliceosome
ko00480	Glutathione metabolism
ko03060	Protein export
ko05224	Breast cancer
ko04910	Insulin signaling pathway
ko04740	Olfactory transduction
ko04340	Hedgehog signaling pathway
ko04972	Pancreatic secretion
ko00550	Peptidoglycan biosynthesis
ko00473	D-Alanine metabolism
ko00521	Streptomycin biosynthesis
ko00030	Pentose phosphate pathway
ko03015	mRNA surveillance pathway
ko00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
ko04310	Wnt signaling pathway
ko00940	Phenylpropanoid biosynthesis
ko00040	Pentose and glucuronate interconversions
ko00062	Fatty acid elongation
ko04745	Phototransduction - fly
ko04141	Protein processing in endoplasmic reticulum
ko00523	Polyketide sugar unit biosynthesis
ko00904	Diterpenoid biosynthesis
ko04977	Vitamin digestion and absorption
ko04380	Osteoclast differentiation
ko00362	Benzoate degradation
ko00626	Naphthalene degradation
ko00900	Terpenoid backbone biosynthesis
ko04213	Longevity regulating pathway - multiple species
ko00190	Oxidative phosphorylation
ko04391	Hippo signaling pathway - fly
ko00280	Valine, leucine and isoleucine degradation
ko04068	FoxO signaling pathway
ko00562	Inositol phosphate metabolism
ko00051	Fructose and mannose metabolism
ko04145	Phagosome
ko04961	Endocrine and other factor-regulated calcium reabsorption
ko04152	AMPK signaling pathway
ko03022	Basal transcription factors
ko04392	Hippo signaling pathway -multiple species
ko05223	Non-small cell lung cancer
ko05120	Epithelial cell signaling in Helicobacter pylori infection
ko04913	Ovarian steroidogenesis
ko00515	Mannose type O-glycan biosynthesis
ko00300	Lysine biosynthesis
ko00981	Insect hormone biosynthesis
ko00511	Other glycan degradation
ko04320	Dorso-ventral axis formation
ko00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis
ko04658	Th1 and Th2 cell differentiation
ko04115	p53 signaling pathway
ko00073	Cutin, suberine and wax biosynthesis
ko00941	Flavonoid biosynthesis
ko00943	Isoflavonoid biosynthesis
ko04921	Oxytocin signaling pathway
ko05164	Influenza A
ko00310	Lysine degradation
ko04710	Circadian rhythm
ko00520	Amino sugar and nucleotide sugar metabolism
ko00860	Porphyrin and chlorophyll metabolism
ko00524	Neomycin, kanamycin and gentamicin biosynthesis
ko04623	Cytosolic DNA-sensing pathway
ko04650	Natural killer cell mediated cytotoxicity
ko00361	Chlorocyclohexane and chlorobenzene degradation
ko04360	Axon guidance
ko00270	Cysteine and methionine metabolism
ko05219	Bladder cancer
ko05410	Hypertrophic cardiomyopathy (HCM)
ko03320	PPAR signaling pathway
ko03010	Ribosome
ko05220	Chronic myeloid leukemia
ko04744	Phototransduction
ko00625	Chloroalkane and chloroalkene degradation
ko04390	Hippo signaling pathway
ko01524	Platinum drug resistance
ko00290	Valine, leucine and isoleucine biosynthesis
ko00980	Metabolism of xenobiotics by cytochrome P450
ko00261	Monobactam biosynthesis
ko05031	Amphetamine addiction
ko04075	Plant hormone signal transduction
ko04062	Chemokine signaling pathway
ko04914	Progesterone-mediated oocyte maturation
ko00908	Zeatin biosynthesis
ko04260	Cardiac muscle contraction
ko05206	MicroRNAs in cancer
ko04214	Apoptosis - fly
ko04657	IL-17 signaling pathway
ko00500	Starch and sucrose metabolism
ko00720	Carbon fixation pathways in prokaryotes
ko01503	Cationic antimicrobial peptide (CAMP) resistance
ko05012	Parkinson's disease
ko03440	Homologous recombination
ko00540	Lipopolysaccharide biosynthesis
ko04621	NOD-like receptor signaling pathway
ko00944	Flavone and flavonol biosynthesis
ko05211	Renal cell carcinoma
ko00360	Phenylalanine metabolism
ko04925	Aldosterone synthesis and secretion
ko00380	Tryptophan metabolism
ko05100	Bacterial invasion of epithelial cells
ko05033	Nicotine addiction
ko00100	Steroid biosynthesis
ko04924	Renin secretion
ko04922	Glucagon signaling pathway
ko00513	Various types of N-glycan biosynthesis
ko04726	Serotonergic synapse
ko04721	Synaptic vesicle cycle
ko04730	Long-term depression
ko04932	Non-alcoholic fatty liver disease (NAFLD)
ko04933	AGE-RAGE signaling pathway in diabetic complications
ko00120	Primary bile acid biosynthesis
ko04122	Sulfur relay system
ko00750	Vitamin B6 metabolism
ko04722	Neurotrophin signaling pathway
ko00061	Fatty acid biosynthesis
ko00905	Brassinosteroid biosynthesis
ko00624	Polycyclic aromatic hydrocarbon degradation
ko03410	Base excision repair
ko00670	One carbon pool by folate
ko00510	N-Glycan biosynthesis
ko05204	Chemical carcinogenesis
ko04142	Lysosome
ko04742	Taste transduction
ko00780	Biotin metabolism
ko00600	Sphingolipid metabolism
ko00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin
ko05131	Shigellosis
ko00591	Linoleic acid metabolism
ko04713	Circadian entrainment
ko04210	Apoptosis
ko04750	Inflammatory mediator regulation of TRP channels
ko01521	EGFR tyrosine kinase inhibitor resistance
ko00906	Carotenoid biosynthesis
ko00760	Nicotinate and nicotinamide metabolism
ko04912	GnRH signaling pathway
ko04662	B cell receptor signaling pathway
ko01220	Degradation of aromatic compounds
ko00340	Histidine metabolism
ko01212	Fatty acid metabolism
ko04974	Protein digestion and absorption
ko04960	Aldosterone-regulated sodium reabsorption
ko00785	Lipoic acid metabolism
ko04540	Gap junction
ko00020	Citrate cycle (TCA cycle)
ko00010	Glycolysis / Gluconeogenesis
ko05140	Leishmaniasis
ko00232	Caffeine metabolism
ko04975	Fat digestion and absorption
ko04727	GABAergic synapse
